,Date,Airline,Flight_Number,Aircraft_Model,Origin_Airport,Origin_City,Destination_Airport,Destination_City,Scheduled_Departure_Time,Actual_Departure_Time,Scheduled_Arrival_Time,Actual_Arrival_Time,Flight_Duration_Minutes,Passenger_Count,Available_Seats,Load_Factor,Passenger_Category,Departure_Delay_Minutes,Arrival_Delay_Minutes,Flight_Status,Delay_Reason,Cancellation_Reason,Ticket_Price_INR,Revenue_INR
FL00744,01-01-2024,Akasa Air,QP 310,Boeing 737 MAX 8,GAU,Guwahati,DEL,Delhi,17:54,18:22,20:28,21:15,154,151,189,0.7989,Leisure,28,47,Delayed,Weather,,8090,1221590
FL01158,01-01-2024,Akasa Air,QP 410,Boeing 737 MAX 8,DEL,Delhi,COK,Kochi,12:13,12:15,15:46,15:54,213,125,189,0.6614,Business,2,8,On Time,,,11400,1425000
FL01221,01-01-2024,IndiGo,6E 282,ATR 72,MAA,Chennai,HYD,Hyderabad,13:29,13:35,14:40,14:50,71,55,70,0.7857,Leisure,6,10,On Time,,,2870,157850
FL01837,01-01-2024,Air India,AI 857,Airbus A320,DEL,Delhi,AMD,Ahmedabad,21:53,21:58,23:15,23:17,82,106,174,0.6092,Leisure,5,2,On Time,,,4230,448380
FL02880,01-01-2024,IndiGo,6E 942,ATR 72,NAG,Nagpur,PNQ,Pune,21:57,21:58,23:09,23:12,72,39,70,0.5571,Leisure,1,3,On Time,,,2770,108030
FL03151,01-01-2024,Air India Express,IX 988,Boeing 737-8,CCU,Kolkata,BOM,Mumbai,17:58,18:03,20:45,20:45,167,147,189,0.7778,Leisure,5,0,On Time,,,8000,1176000
FL03453,01-01-2024,IndiGo,6E 661,Airbus A320neo,BOM,Mumbai,AMD,Ahmedabad,20:13,20:17,21:20,21:26,67,125,180,0.6944,Family,4,6,On Time,,,2150,268750
FL03503,01-01-2024,Air India,AI 697,Airbus A321,BOM,Mumbai,AMD,Ahmedabad,06:32,06:40,07:51,07:57,79,120,190,0.6316,Leisure,8,6,On Time,,,2570,308400
FL04642,01-01-2024,Air India Express,IX 602,Boeing 737-8,BOM,Mumbai,PNQ,Pune,15:24,18:17,16:09,19:07,45,145,189,0.7672,Family,173,178,Delayed,Air Traffic,,1800,261000
FL00741,02-01-2024,SpiceJet,SG 298,Boeing 737-800,AMD,Ahmedabad,HYD,Hyderabad,18:27,18:28,20:15,20:15,108,166,189,0.8783,Leisure,1,0,On Time,,,4130,685580
FL00998,02-01-2024,Akasa Air,QP 371,Boeing 737 MAX 8,GOI,Goa,JAI,Jaipur,16:12,16:21,18:27,18:37,135,156,189,0.8254,Senior Citizen,9,10,On Time,,,7370,1149720
FL02731,02-01-2024,SpiceJet,SG 716,Boeing 737-800,PNQ,Pune,MAA,Chennai,06:38,06:38,08:22,08:24,104,155,189,0.8201,Leisure,0,2,On Time,,,5100,790500
FL03492,02-01-2024,Akasa Air,QP 999,Boeing 737 MAX 8,NAG,Nagpur,BLR,Bengaluru,08:59,10:07,10:40,12:06,101,155,189,0.8201,Leisure,68,86,Delayed,Air Traffic,,4830,748650
FL03877,02-01-2024,IndiGo,6E 995,Airbus A321neo,LKO,Lucknow,CCU,Kolkata,21:29,23:28,23:08,01:40,99,140,220,0.6364,Leisure,119,152,Delayed,Late Arrival of Aircraft,,4050,567000
FL04419,02-01-2024,IndiGo,6E 601,Airbus A320neo,CCU,Kolkata,MAA,Chennai,06:44,06:50,09:17,09:22,153,105,180,0.5833,Family,6,5,On Time,,,6500,682500
FL04553,02-01-2024,Air India,AI 338,Airbus A321,PNQ,Pune,BOM,Mumbai,11:31,11:49,12:16,12:42,45,162,190,0.8526,Leisure,18,26,Delayed,Air Traffic,,1800,291600
FL00811,03-01-2024,IndiGo,6E 762,Airbus A321neo,CCU,Kolkata,BLR,Bengaluru,08:20,08:24,11:08,11:14,168,152,220,0.6909,Leisure,4,6,On Time,,,7860,1194720
FL02585,03-01-2024,Air India Express,IX 824,Boeing 737-8,CCU,Kolkata,CJB,Coimbatore,07:14,07:19,10:12,10:22,178,155,189,0.8201,Family,5,10,On Time,,,8660,1342300
FL03207,03-01-2024,IndiGo,6E 442,Airbus A321neo,HYD,Hyderabad,CJB,Coimbatore,22:14,22:16,23:51,23:54,97,161,220,0.7318,Leisure,2,3,On Time,,,3500,563500
FL03606,03-01-2024,Air India Express,IX 303,Boeing 737-8,MAA,Chennai,BOM,Mumbai,20:05,20:11,22:06,22:16,121,136,189,0.7196,Leisure,6,10,On Time,,,5070,689520
FL04315,03-01-2024,SpiceJet,SG 299,Boeing 737-800,BOM,Mumbai,JAI,Jaipur,07:50,07:56,09:41,09:48,111,138,189,0.7302,Business,6,7,On Time,,,4750,655500
FL00423,04-01-2024,Air India,AI 248,Airbus A321,GOI,Goa,HYD,Hyderabad,05:05,05:06,06:28,06:32,83,140,190,0.7368,Business,1,4,On Time,,,3310,463400
FL00647,04-01-2024,Air India,AI 352,Airbus A320,COK,Kochi,HYD,Hyderabad,16:10,16:18,17:53,18:06,103,132,174,0.7586,Leisure,8,13,On Time,,,5100,673200
FL00775,04-01-2024,IndiGo,6E 726,Airbus A321neo,BLR,Bengaluru,MAA,Chennai,06:31,06:33,07:29,07:29,58,119,220,0.5409,Business,2,0,On Time,,,1800,214200
FL01314,04-01-2024,IndiGo,6E 374,Airbus A320neo,BOM,Mumbai,PNQ,Pune,22:26,22:34,23:11,23:20,45,132,180,0.7333,Leisure,8,9,On Time,,,1800,237600
FL01323,04-01-2024,Air India,AI 637,Boeing 787-8,LKO,Lucknow,DEL,Delhi,11:54,11:59,12:49,13:00,55,141,256,0.5508,Business,5,11,On Time,,,2200,310200
FL01617,04-01-2024,IndiGo,6E 649,Airbus A320neo,MAA,Chennai,BOM,Mumbai,09:50,09:53,11:53,11:59,123,162,180,0.9,Family,3,6,On Time,,,6130,993060
FL02299,04-01-2024,IndiGo,6E 410,ATR 72,GAU,Guwahati,MAA,Chennai,16:17,16:17,19:26,19:28,189,62,70,0.8857,Family,0,2,On Time,,,11770,729740
FL03038,04-01-2024,Air India Express,IX 958,Boeing 737-8,MAA,Chennai,GAU,Guwahati,08:12,08:16,11:17,11:24,185,127,189,0.672,Senior Citizen,4,7,On Time,,,7280,924560
FL03179,04-01-2024,IndiGo,6E 415,Airbus A321neo,CCU,Kolkata,AMD,Ahmedabad,09:29,09:31,12:14,12:15,165,153,220,0.6955,Senior Citizen,2,1,On Time,,,8790,1344870
FL04773,04-01-2024,Air India,AI 422,Airbus A321,AMD,Ahmedabad,MAA,Chennai,08:47,08:49,11:16,11:21,149,127,190,0.6684,Business,2,5,On Time,,,7060,896620
FL03439,05-01-2024,IndiGo,6E 646,Airbus A321neo,NAG,Nagpur,HYD,Hyderabad,19:34,19:38,20:37,20:37,63,189,220,0.8591,Leisure,4,0,On Time,,,2570,485730
FL03463,05-01-2024,Air India,AI 683,Airbus A320,PNQ,Pune,MAA,Chennai,08:17,08:23,10:06,10:20,109,136,174,0.7816,Student,6,14,On Time,,,5910,803760
FL04156,05-01-2024,Akasa Air,QP 380,Boeing 737 MAX 8,GAU,Guwahati,PNQ,Pune,17:37,17:39,20:53,20:56,196,164,189,0.8677,Leisure,2,3,On Time,,,13200,2164800
